kind,name,creation_order,shape_type,center,size,props
opening,hdrack-opns.7.1,43,shape_quad,"[8.839199668143, 1.523999951232, 3.352799917212]","[0.0, 2.133599931725, 0.609599980493]",grid_priority=153.0
block,hdrack.8,44,shape_hexa,"[7.16279977079, 1.523999951232, 6.400799795174]","[0.914399970739, 2.133599931725, 0.609599980493]",block_type=hollow grid_priority=42.0
block,hdrack.8.1,44,shape_hexa,"[9.296399602515, 1.523999901232, 2.743199903696]","[0.9144, 2.1335999, 0.6095999]",block_type=hollow grid_priority=43.0
opening,hdrack-opns.8,45,shape_quad,"[7.61999975616, 1.523999951232, 6.400799795174]","[0.0, 2.133599931725, 0.609599980493]",grid_priority=154.0
opening,hdrack-opns.8.1,45,shape_quad,"[8.839199635475, 1.523999951232, 2.743199936719]","[0.0, 2.133599931725, 0.609599980493]",grid_priority=155.0
block,hdrack.9,46,shape_hexa,"[7.16279977079, 1.523999951232, 7.010399775667]","[0.914399970739, 2.133599931725, 0.609599980493]",block_type=hollow grid_priority=44.0
block,hdrack.9.1,46,shape_hexa,"[9.296399602515, 1.523999901232, 2.133599903696]","[0.9144, 2.1335999, 0.6095999]",block_type=hollow grid_priority=45.0
opening,hdrack-opns.9,47,shape_quad,"[7.61999975616, 1.523999951232, 7.010399775667]","[0.0, 2.133599931725, 0.609599980493]",grid_priority=156.0
opening,hdrack-opns.9.1,47,shape_quad,"[8.839199602806, 1.523999951232, 2.133599956226]","[0.0, 2.133599931725, 0.609599980493]",grid_priority=157.0
block,hdrack.10.1,48,shape_hexa,"[9.296399502515, 1.523999901232, 1.524000003696]","[0.9144, 2.1335999, 0.6095999]",block_type=hollow grid_priority=47.0
block,hdrack.10,48,shape_hexa,"[7.16279977079, 1.523999951232, 7.61999975616]","[0.914399970739, 2.133599931725, 0.609599980493]",block_type=hollow grid_priority=46.0
opening,hdrack-opns.10.1,49,shape_quad,"[8.839199570138, 1.523999951232, 1.523999975733]","[0.0, 2.133599931725, 0.609599980493]",grid_priority=159.0
opening,hdrack-opns.10,49,shape_quad,"[7.61999975616, 1.523999951232, 7.61999975616]","[0.0, 2.133599931725, 0.609599980493]",grid_priority=158.0
resistance,tile.11.1,50,shape_hexa,"[8.534399726899, 0.43814998537, 1.523999951232]","[0.609599980493, 0.0381, 0.609599980493]",grid_priority=50.0
resistance,tile.12,50,shape_hexa,"[7.924799746406, 0.43814998537, 1.523999951232]","[0.609599980493, 0.0381, 0.609599980493]",grid_priority=51.0
resistance,tile,50,shape_hexa,"[3.657599882957, 0.43814998537, 1.523999951232]","[0.609599980493, 0.0381, 0.609599980493]",grid_priority=48.0
resistance,tile.11,50,shape_hexa,"[4.26719986345, 0.43814998537, 1.523999951232]","[0.609599980493, 0.0381, 0.609599980493]",grid_priority=49.0
opening,tile_open_top.11,51,shape_quad,"[4.26719986345, 0.45719998537, 1.523999951232]","[0.609599980493, 0.0, 0.609599980493]",grid_priority=161.0
opening,tile_open_top,51,shape_quad,"[3.657599882957, 0.45719998537, 1.523999951232]","[0.609599980493, 0.0, 0.609599980493]",grid_priority=160.0
opening,tile_open_top.12,51,shape_quad,"[7.924799746406, 0.45719998537, 1.523999951232]","[0.609599980493, 0.0, 0.609599980493]",grid_priority=163.0
opening,tile_open_top.11.1,51,shape_quad,"[8.534399726899, 0.45719998537, 1.523999951232]","[0.609599980493, 0.0, 0.609599980493]",grid_priority=162.0
opening,tile_open_bottom.11.1,52,shape_quad,"[8.534399726899, 0.41909998537, 1.523999951232]","[0.609599980493, 0.0, 0.609599980493]",grid_priority=166.0
opening,tile_open_bottom,52,shape_quad,"[3.657599882957, 0.41909998537, 1.523999951232]","[0.609599980493, 0.0, 0.609599980493]",grid_priority=164.0
opening,tile_open_bottom.12,52,shape_quad,"[7.924799746406, 0.41909998537, 1.523999951232]","[0.609599980493, 0.0, 0.609599980493]",grid_priority=167.0
opening,tile_open_bottom.11,52,shape_quad,"[4.26719986345, 0.41909998537, 1.523999951232]","[0.609599980493, 0.0, 0.609599980493]",grid_priority=165.0
resistance,tile.1,53,shape_hexa,"[3.657599882957, 0.43814998537, 2.133599931725]","[0.609599980493, 0.0381, 0.609599980493]",grid_priority=52.0
resistance,tile.1.2,53,shape_hexa,"[7.924799746406, 0.43814998537, 2.133599931725]","[0.609599980493, 0.0381, 0.609599980493]",grid_priority=55.0
resistance,tile.1.1,53,shape_hexa,"[4.26719986345, 0.43814998537, 2.133599931725]","[0.609599980493, 0.0381, 0.609599980493]",grid_priority=53.0
resistance,tile.1.1.1,53,shape_hexa,"[8.534399726899, 0.43814998537, 2.133599931725]","[0.609599980493, 0.0381, 0.609599980493]",grid_priority=54.0
opening,tile_open_top.1.1,54,shape_quad,"[4.26719986345, 0.45719998537, 2.133599931725]","[0.609599980493, 0.0, 0.609599980493]",grid_priority=169.0
opening,tile_open_top.1.2,54,shape_quad,"[7.924799746406, 0.45719998537, 2.133599931725]","[0.609599980493, 0.0, 0.609599980493]",grid_priority=171.0
opening,tile_open_top.1.1.1,54,shape_quad,"[8.534399726899, 0.45719998537, 2.133599931725]","[0.609599980493, 0.0, 0.609599980493]",grid_priority=170.0
opening,tile_open_top.1,54,shape_quad,"[3.657599882957, 0.45719998537, 2.133599931725]","[0.609599980493, 0.0, 0.609599980493]",grid_priority=168.0
opening,tile_open_bottom.1.1.1,55,shape_quad,"[8.534399726899, 0.41909998537, 2.133599931725]","[0.609599980493, 0.0, 0.609599980493]",grid_priority=174.0
opening,tile_open_bottom.1.2,55,shape_quad,"[7.924799746406, 0.41909998537, 2.133599931725]","[0.609599980493, 0.0, 0.609599980493]",grid_priority=175.0
opening,tile_open_bottom.1,55,shape_quad,"[3.657599882957, 0.41909998537, 2.133599931725]","[0.609599980493, 0.0, 0.609599980493]",grid_priority=172.0
opening,tile_open_bottom.1.1,55,shape_quad,"[4.26719986345, 0.41909998537, 2.133599931725]","[0.609599980493, 0.0, 0.609599980493]",grid_priority=173.0
resistance,tile.2.1.1,56,shape_hexa,"[8.534399726899, 0.43814998537, 2.743199912218]","[0.609599980493, 0.0381, 0.609599980493]",grid_priority=58.0
resistance,tile.2.2,56,shape_hexa,"[7.924799746406, 0.43814998537, 2.743199912218]","[0.609599980493, 0.0381, 0.609599980493]",grid_priority=59.0
resistance,tile.2.1,56,shape_hexa,"[4.26719986345, 0.43814998537, 2.743199912218]","[0.609599980493, 0.0381, 0.609599980493]",grid_priority=57.0
resistance,tile.2,56,shape_hexa,"[3.657599882957, 0.43814998537, 2.743199912218]","[0.609599980493, 0.0381, 0.609599980493]",grid_priority=56.0
opening,tile_open_top.2.1,57,shape_quad,"[4.26719986345, 0.45719998537, 2.743199912218]","[0.609599980493, 0.0, 0.609599980493]",grid_priority=177.0
opening,tile_open_top.2.2,57,shape_quad,"[7.924799746406, 0.45719998537, 2.743199912218]","[0.609599980493, 0.0, 0.609599980493]",grid_priority=179.0
opening,tile_open_top.2,57,shape_quad,"[3.657599882957, 0.45719998537, 2.743199912218]","[0.609599980493, 0.0, 0.609599980493]",grid_priority=176.0
opening,tile_open_top.2.1.1,57,shape_quad,"[8.534399726899, 0.45719998537, 2.743199912218]","[0.609599980493, 0.0, 0.609599980493]",grid_priority=178.0
opening,tile_open_bottom.2,58,shape_quad,"[3.657599882957, 0.41909998537, 2.743199912218]","[0.609599980493, 0.0, 0.609599980493]",grid_priority=180.0
opening,tile_open_bottom.2.2,58,shape_quad,"[7.924799746406, 0.41909998537, 2.743199912218]","[0.609599980493, 0.0, 0.609599980493]",grid_priority=183.0
