kind,name,creation_order,shape_type,center,size,props
block,card_guide.l.01,22,shape_hexa,"[0.019, 0.0995, 0.0425]","[0.01, 0.165, 0.007]",block_type=solid grid_priority=10.0
block,card_guide.l.02,23,shape_hexa,"[0.019, 0.0995, 0.0625]","[0.01, 0.165, 0.007]",block_type=solid grid_priority=11.0
block,card_guide.l.03,24,shape_hexa,"[0.019, 0.0995, 0.0825]","[0.01, 0.165, 0.007]",block_type=solid grid_priority=12.0
block,card_guide.l.04,25,shape_hexa,"[0.019, 0.0995, 0.1025]","[0.01, 0.165, 0.007]",block_type=solid grid_priority=13.0
block,card_guide.l.05,26,shape_hexa,"[0.019, 0.0995, 0.1225]","[0.01, 0.165, 0.007]",block_type=solid grid_priority=14.0
block,card_guide.l.06,27,shape_hexa,"[0.019, 0.0995, 0.1425]","[0.01, 0.165, 0.007]",block_type=solid grid_priority=15.0
block,card_guide.l.07,28,shape_hexa,"[0.019, 0.0995, 0.1625]","[0.01, 0.165, 0.007]",block_type=solid grid_priority=16.0
block,card_guide.l.08,29,shape_hexa,"[0.019, 0.0995, 0.1825]","[0.01, 0.165, 0.007]",block_type=solid grid_priority=17.0
block,card_guide.l.09,30,shape_hexa,"[0.019, 0.0995, 0.2025]","[0.01, 0.165, 0.007]",block_type=solid grid_priority=18.0
block,card_guide.l.10,31,shape_hexa,"[0.019, 0.0995, 0.2225]","[0.01, 0.165, 0.007]",block_type=solid grid_priority=19.0
block,card_guide.l.11,32,shape_hexa,"[0.019, 0.0995, 0.2425]","[0.01, 0.165, 0.007]",block_type=solid grid_priority=20.0
block,card_guide.l.12,33,shape_hexa,"[0.019, 0.0995, 0.2625]","[0.01, 0.165, 0.007]",block_type=solid grid_priority=21.0
block,card_guide.l.13,34,shape_hexa,"[0.019, 0.0995, 0.2825]","[0.01, 0.165, 0.007]",block_type=solid grid_priority=22.0
block,card_guide.l.14,35,shape_hexa,"[0.019, 0.0995, 0.3025]","[0.01, 0.165, 0.007]",block_type=solid grid_priority=23.0
block,card_guide.r.00,37,shape_hexa,"[0.239, 0.0995, 0.0225]","[0.01, 0.165, 0.007]",block_type=solid grid_priority=24.0
